type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime;
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31058488;-71.58476562;-1930090.537;2833976.678;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31099146;-71.58554263;-1930128.573;2833883.287;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31105178;-71.58592521;-1930130.874;2833839.115;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31123912;-71.58724095;-1930136.427;2833687.462;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31162758;-71.58732504;-1930180.998;2833672.897;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31167158;-71.58766184;-1930181.955;2833634.128;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31248289;-71.58777593;-1930275.811;2833610.685;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31252342;-71.5879605;-1930278.264;2833589.227;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31265999;-71.58792486;-1930294.748;2833591.502;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31272247;-71.59021529;-1930273.452;2833330.926;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.3131069;-71.59022118;-1930318.527;2833325.281;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.3131224;-71.58898445;-1930335.808;2833465.343;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.3131101;-71.58797545;-1930346.978;2833579.937;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31310887;-71.58731052;-1930355.146;2833655.366;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31345916;-71.58412379;-1930436.135;2834012.256;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31295155;-71.58383112;-1930380.177;2834052.023;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31245159;-71.58367259;-1930323.442;2834076.477;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31223284;-71.58342706;-1930300.821;2834107.157;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31065813;-71.5834143;-1930116.037;2834128.995;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31034687;-71.5834014;-1930079.641;2834134.489;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.30988554;-71.58379953;-1930020.482;2834095.306;False; ; ;0; ; ; ; ; ; ; 
TRACK;1.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX ARRIBA + CIUDAD MUNICIPAL VIII;-16.31022818;-71.58412138;-1930056.699;2834054.365;False; ; ;0; ; ; ; ; ; ; 
TRACK;2.- CIUDAD MUNICIPAL VIII + CIUDAD MUNICIPAL VI; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ; 
TRACK;2.- CIUDAD MUNICIPAL VIII + CIUDAD MUNICIPAL VI;-16.31655276;-71.58773141;-1930754.344;2833563.038;False; ; ;0; ; ; ; ; ; ; 
TRACK;2.- CIUDAD MUNICIPAL VIII + CIUDAD MUNICIPAL VI;-16.31318896;-71.58776092;-1930358.922;2833603.246;False; ; ;0; ; ; ; ; ; ; 
TRACK;2.- CIUDAD MUNICIPAL VIII + CIUDAD MUNICIPAL VI;-16.31319486;-71.59041435;-1930326.442;2833302.235;False; ; ;0; ; ; ; ; ; ; 
TRACK;2.- CIUDAD MUNICIPAL VIII + CIUDAD MUNICIPAL VI;-16.3166122;-71.59039122;-1930728.067;2833260.616;False; ; ;0; ; ; ; ; ; ; 
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ; 
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31659667;-71.58617016;-1930779.026;2833739.535;False; ; ;0; ; ; ; ; ; ; 
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31633564;-71.58615196;-1930748.597;2833744.98;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31625017;-71.58603494;-1930740.023;2833759.358;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31628417;-71.58590961;-1930745.583;2833773.132;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31643334;-71.58570076;-1930765.714;2833794.887;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31628678;-71.58559528;-1930749.821;2833808.748;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31607793;-71.58548501;-1930726.672;2833823.959;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.3157625;-71.58530285;-1930691.905;2833848.704;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31559726;-71.58519024;-1930673.907;2833863.615;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31539182;-71.58505579;-1930651.46;2833881.524;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31527515;-71.58517978;-1930636.207;2833868.973;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.3153293;-71.58542639;-1930639.483;2833840.302;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31519053;-71.58561493;-1930620.827;2833820.716;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31477737;-71.58534241;-1930575.712;2833856.974;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31469065;-71.58542645;-1930564.476;2833848.565;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31451667;-71.58528089;-1930545.864;2833867.327;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31442359;-71.58530119;-1930534.678;2833866.23;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31427494;-71.58515952;-1930518.992;2833884.223;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31415211;-71.58504677;-1930505.975;2833898.601;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31398285;-71.58494152;-1930487.413;2833912.73;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31387067;-71.58483972;-1930475.511;2833925.728;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31381828;-71.58467847;-1930471.374;2833944.695;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31375753;-71.58455;-1930465.847;2833960.052;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31359679;-71.58451374;-1930447.422;2833966.247;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31353498;-71.58486407;-1930435.781;2833927.313;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.3134373;-71.58538746;-1930417.765;2833869.218;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31331008;-71.58669335;-1930386.495;2833722.757;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31321409;-71.58766409;-1930363.083;2833613.903;False; ; ;0; ; ; ; ; ; ;
TRACK;3.- VIGEN DE CHAPI + CIUDAD MUNICIPAL IX;-16.31661729;-71.58764977;-1930762.944;2833571.462;False; ; ;0; ; ; ; ; ; ;
TRACK;4.- CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL VI; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;
TRACK;4.- CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL VI;-16.319856;-71.5877267;-1931142.344;2833520.794;False; ; ;0; ; ; ; ; ; ;
TRACK;4.- CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL VI;-16.31665903;-71.58773676;-1930766.758;2833561.056;False; ; ;0; ; ; ; ; ; ;
TRACK;4.- CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL VI;-16.31667864;-71.58906205;-1930752.489;2833410.498;False; ; ;0; ; ; ; ; ; ;
TRACK;4.- CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL VI;-16.31707428;-71.58908161;-1930798.709;2833403.158;False; ; ;0; ; ; ; ; ; ;
TRACK;4.- CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL VI;-16.3171268;-71.59041481;-1930788.207;2833251.279;False; ; ;0; ; ; ; ; ; ;
TRACK;4.- CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL VI;-16.31713638;-71.59155249;-1930775.107;2833122.131;False; ; ;0; ; ; ; ; ; ;
TRACK;4.- CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL VI;-16.3198837;-71.59151485;-1931098.223;2833090.827;False; ; ;0; ; ; ; ; ; ;
TRACK;5.- CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL IXI; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;
TRACK;5.- CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL IXI;-16.3212678;-71.58631628;-1931325.79;2833662.462;False; ; ;0; ; ; ; ; ; ;
TRACK;5.- CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL IXI;-16.32119804;-71.58629008;-1931317.926;2833666.337;False; ; ;0; ; ; ; ; ; ;
TRACK;5.- CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL IXI;-16.32117897;-71.58585756;-1931321.097;2833715.636;False; ; ;0; ; ; ; ; ; ;
TRACK;5.- CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL IXI;-16.32006288;-71.58591567;-1931189.293;2833723.503;False; ; ;0; ; ; ; ; ; ;
TRACK;5.- CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL IXI;-16.31979198;-71.58610045;-1931155.166;2833706.056;False; ; ;0; ; ; ; ; ; ;
TRACK;5.- CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL IXI;-16.3191455;-71.58613622;-1931078.794;2833710.374;False; ; ;0; ; ; ; ; ; ;
TRACK;5.- CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL IXI;-16.31870809;-71.58613607;-1931027.424;2833716.056;False; ; ;0; ; ; ; ; ; ;
TRACK;5.- CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL IXI;-16.3166466;-71.58619504;-1930784.579;2833736.067;False; ; ;0; ; ; ; ; ; ;
TRACK;5.- CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL IXI;-16.3166701;-71.58765662;-1930769.061;2833570.002;False; ; ;0; ; ; ; ; ; ;
TRACK;5.- CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL IXI;-16.31712575;-71.58761696;-1930823.07;2833568.598;False; ; ;0; ; ; ; ; ; ;
TRACK;5.- CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL IXI;-16.32125684;-71.58762392;-1931308.147;2833514.305;False; ; ;0; ; ; ; ; ; ;
TRACK;6.- PARTE BAJA CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL VI; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;
TRACK;6.- PARTE BAJA CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL VI;-16.32129403;-71.59148193;-1931264.263;2833076.297;False; ; ;0; ; ; ; ; ; ;
TRACK;6.- PARTE BAJA CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL VI;-16.32127705;-71.5877166;-1931309.362;2833503.533;False; ; ;0; ; ; ; ; ; ;
TRACK;6.- PARTE BAJA CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL VI;-16.31996822;-71.5877042;-1931155.805;2833521.892;False; ; ;0; ; ; ; ; ; ;
TRACK;6.- PARTE BAJA CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL VI;-16.31993676;-71.58903021;-1931135.525;2833371.918;False; ; ;0; ; ; ; ; ; ;
TRACK;6.- PARTE BAJA CIUDAD MUNICIPAL VII + CIUDAD MUNICIPAL VI;-16.31995788;-71.59153909;-1931106.632;2833087.117;False; ; ;0; ; ; ; ; ; ;
TRACK;7.- CIUDAD MUNICIPAL V + CIUDAD MUNICIPAL IV; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;
TRACK;7.- CIUDAD MUNICIPAL V + CIUDAD MUNICIPAL IV;-16.32625327;-71.58970906;-1931868.849;2833213.114;False; ; ;0; ; ; ; ; ; ;
TRACK;7.- CIUDAD MUNICIPAL V + CIUDAD MUNICIPAL IV;-16.32537561;-71.58966464;-1931766.333;2833229.521;False; ; ;0; ; ; ; ; ; ;
TRACK;7.- CIUDAD MUNICIPAL V + CIUDAD MUNICIPAL IV;-16.32533895;-71.58951001;-1931763.961;2833247.531;False; ; ;0; ; ; ; ; ; ;
TRACK;7.- CIUDAD MUNICIPAL V + CIUDAD MUNICIPAL IV;-16.32435737;-71.58948069;-1931649.051;2833263.572;False; ; ;0; ; ; ; ; ; ;
TRACK;7.- CIUDAD MUNICIPAL V + CIUDAD MUNICIPAL IV;-16.32432919;-71.58955697;-1931644.787;2833255.286;False; ; ;0; ; ; ; ; ; ;
TRACK;7.- CIUDAD MUNICIPAL V + CIUDAD MUNICIPAL IV;-16.32332725;-71.58952461;-1931527.525;2833271.936;False; ; ;0; ; ; ; ; ; ;
TRACK;7.- CIUDAD MUNICIPAL V + CIUDAD MUNICIPAL IV;-16.32289954;-71.58951942;-1931477.359;2833278.064;False; ; ;0; ; ; ; ; ; ;
TRACK;7.- CIUDAD MUNICIPAL V + CIUDAD MUNICIPAL IV;-16.32286464;-71.58933062;-1931475.622;2833299.927;False; ; ;0; ; ; ; ; ; ;
TRACK;7.- CIUDAD MUNICIPAL V + CIUDAD MUNICIPAL IV;-16.32244356;-71.58929658;-1931426.595;2833309.241;False; ; ;0; ; ; ; ; ; ;
TRACK;7.- CIUDAD MUNICIPAL V + CIUDAD MUNICIPAL IV;-16.32244155;-71.58918047;-1931427.812;2833322.436;False; ; ;0; ; ; ; ; ; ;
TRACK;7.- CIUDAD MUNICIPAL V + CIUDAD MUNICIPAL IV;-16.32147901;-71.5891724;-1931314.871;2833335.818;False; ; ;0; ; ; ; ; ; ;
TRACK;7.- CIUDAD MUNICIPAL V + CIUDAD MUNICIPAL IV;-16.32150737;-71.59149676;-1931289.133;2833071.852;False; ; ;0; ; ; ; ; ; ;
TRACK;7.- CIUDAD MUNICIPAL V + CIUDAD MUNICIPAL IV;-16.32625327;-71.59145317;-1931847.031;2833015.326;False; ; ;0; ; ; ; ; ; ;
TRACK;8.- VICTOR RAUL HAYA DE LA TORRE; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;
TRACK;8.- VICTOR RAUL HAYA DE LA TORRE;-16.32613545;-71.58765261;-1931880.74;2833447.851;False; ; ;0; ; ; ; ; ; ;
TRACK;8.- VICTOR RAUL HAYA DE LA TORRE;-16.3259462;-71.58763721;-1931858.706;2833452.049;False; ; ;0; ; ; ; ; ; ;
TRACK;8.- VICTOR RAUL HAYA DE LA TORRE;-16.32171646;-71.5877036;-1931361.129;2833499.316;False; ; ;0; ; ; ; ; ; ;
TRACK;8.- VICTOR RAUL HAYA DE LA TORRE;-16.32173938;-71.58908818;-1931346.502;2833341.996;False; ; ;0; ; ; ; ; ; ;
TRACK;8.- VICTOR RAUL HAYA DE LA TORRE;-16.32283129;-71.58906324;-1931475.049;2833330.682;False; ; ;0; ; ; ; ; ; ;
TRACK;8.- VICTOR RAUL HAYA DE LA TORRE;-16.32287975;-71.58925877;-1931478.295;2833307.88;False; ; ;0; ; ; ; ; ; ;
TRACK;8.- VICTOR RAUL HAYA DE LA TORRE;-16.32420729;-71.589355;-1931632.998;2833279.77;False; ; ;0; ; ; ; ; ; ;
TRACK;8.- VICTOR RAUL HAYA DE LA TORRE;-16.3242622;-71.58907942;-1931642.894;2833310.312;False; ; ;0; ; ; ; ; ; ;
TRACK;8.- VICTOR RAUL HAYA DE LA TORRE;-16.32494714;-71.5890716;-1931723.432;2833302.325;False; ; ;0; ; ; ; ; ; ;
TRACK;8.- VICTOR RAUL HAYA DE LA TORRE;-16.32498502;-71.58935456;-1931724.34;2833269.745;False; ; ;0; ; ; ; ; ; ;
TRACK;8.- VICTOR RAUL HAYA DE LA TORRE;-16.32620356;-71.58952205;-1931865.35;2833234.965;False; ; ;0; ; ; ; ; ; ;
TRACK;9.- CIUDAD MUNICIPAL VII; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;
TRACK;9.- CIUDAD MUNICIPAL VII;-16.32613664;-71.58631664;-1931897.594;2833599.342;False; ; ;0; ; ; ; ; ; ;
TRACK;9.- CIUDAD MUNICIPAL VII;-16.32271771;-71.58586492;-1931501.718;2833694.867;False; ; ;0; ; ; ; ; ; ;
TRACK;9.- CIUDAD MUNICIPAL VII;-16.321477;-71.58596325;-1931354.776;2833699.789;False; ; ;0; ; ; ; ; ; ;
TRACK;9.- CIUDAD MUNICIPAL VII;-16.32150581;-71.58763234;-1931337.281;2833510.126;False; ; ;0; ; ; ; ; ; ;
TRACK;9.- CIUDAD MUNICIPAL VII;-16.32613257;-71.58754327;-1931881.769;2833460.287;False; ; ;0; ; ; ; ; ; ;
TRACK;10.- CIUDAD MUNICIPAL IV + ASOC MARIANO SANTOS + ASOC SAN PEDRO  SAN PABLO; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;
