cluster;lat;long;y_proj;x_proj
1;-16.45376587;-71.53224034;-1947567.58;2838067.806
2;-16.44650896;-71.55986202;-1946366.583;2835032.104
3;-16.43065469;-71.52757429;-1944911.849;2838899.192
4;-16.34166271;-71.55074105;-1934166.941;2837432.548
5;-16.36348805;-71.54409198;-1936814.121;2837902.757
6;-16.35066177;-71.52070785;-1935601.353;2840721.94
7;-16.36631983;-71.5169147;-1937488.615;2840948.121
8;-16.38350588;-71.52603697;-1939392.726;2839689.402
9;-16.37203103;-71.5100959;-1938245.457;2841647.016
10;-16.40234367;-71.54784574;-1941330.875;2836970.814
11;-16.39381902;-71.51996263;-1940680.784;2840243.627
12;-16.37576617;-71.49654435;-1938855.092;2843135.321
13;-16.39181755;-71.48462441;-1940891.493;2844277.507
14;-16.40684783;-71.51558414;-1942266.569;2840569.909
15;-16.42308665;-71.5765936;-1943405.169;2833441.533
16;-16.41060686;-71.49144339;-1943013.009;2843258.241
17;-16.43163167;-71.50272851;-1945340.496;2841703.258
18;-16.42111551;-71.47693419;-1944431.2;2844765.978
19;-16.31025676;-71.61797055;-1929637.237;2830215.221
20;-16.30338896;-71.6383302;-1928576.96;2827995.25
21;-16.37758226;-71.57262573;-1938111.101;2834483.897
22;-16.35298178;-71.58211344;-1935102.957;2833727.808
23;-16.30713438;-71.54593642;-1930171.225;2838425.876
24;-16.33054054;-71.5631497;-1932704.928;2836169.634
25;-16.32723794;-71.58161727;-1932085.745;2834118.01
26;-16.32652704;-71.5969529;-1931810.397;2832388.107
27;-16.34127136;-71.61824354;-1933275.592;2829783.129
28;-16.39753101;-71.60706485;-1940021.452;2830320.58
29;-16.44726791;-71.60285509;-1945914.166;2830150.246
30;-16.46862858;-71.50951364;-1949600.879;2840448.996
31;-16.4930987;-71.48920967;-1952732.91;2842428.862
32;-16.34915405;-71.65566504;-1933733.713;2825439.091
33;-16.30699485;-72.1778504;-1922379.712;2766866.445
34;-16.34062578;-72.18240386;-1926261.313;2765930.681
35;-16.36051113;-72.24643811;-1927814.721;2758446.431
36;-16.39380495;-72.22160441;-1932010.655;2760834.828